Country,ParticipantName,Address,City,BIC,Status,Role,Readiness Date,Scheme Leaving Date,Scheme Options
AUSTRIA,Raiffeisenbank Huettau-St.Martin-Niedernfritz eGen,Huettau 35,Huettau,RVSAAT2S027,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Ilz-Grossteinbach-Riegersburg eGen,Ilz 39,Ilz,RZSTAT2G151,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISENBANK IM RHEINTAL EGEN,Rathausplatz 8,Dornbirn,RVVGAT2B420,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank im Walgau eGen,Bahnhofstr. 2,Nenzing,RVVGAT2B458,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISENBANK IM WEINVIERTEL eGen,HAUPTPLATZ 37,MISTELBACH/ZAYA,RLNWATWWMIB,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Inneres Salzkammergut eGen,Kreuzplatz 20,Bad Ischl,RZOOAT2L545,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Innkreis Mitte eGen,Ort im Innkreis 7,Ort im Innkreis,RZOOAT2L200,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Kematen-Neuhofen eGen,Linzerstrasse 27,Kematen an der Krems,RZOOAT2L214,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Kitzbuehel - St. Johann eGen,Vorderstadt 3 a,Kitzbuehel,RZTIAT22263,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Kleinmuenchen/Linz eGen,Salzburger Strasse 5,Linz,RZOOAT2L226,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISENBANK KLOSTERNEUBURG eGen,"7, RATHAUSPLATZ",KLOSTERNEUBURG,RLNWATWW367,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Koessen-Kirchdorf eGen,Dorf 4,Koessen,RZTIAT22264,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Koetschach-Mauthen reg.Gen.m.b.H.,Koetschach 7a,Koetschach-Mauthen,RZKTAT2K364,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Kollerschlag eGen,Markt 4,Kollerschlag,RZOOAT2L231,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISENBANK KORNEUBURG eGen,"11, HAUPTPLATZ",KORNEUBURG,RLNWATWWKOR,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISENBANK KREMS eGen,"8, DREIFALTIGKEITSPLATZ",KREMS (DONAU),RLNWATWWKRE,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISENBANK KREUZENSTEIN eGen,STOCKERAUER STRASSE 8-10,Korneuburg,RLNWATW1438,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Kundl-Münster eGen,Dorfstrasse 14,Kundl,RZTIAT22267,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISENBANK LAA A.D. THAYA eGen,"56, STADTPLATZ",LAA AN DER THAYA,RLNWATWWLAA,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Laengenfeld reg.Gen.m.b.H.,Oberlaengenfeld 72,Laengenfeld,RZTIAT22268,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Lammertal eGen,Markt 49,Abtenau,RVSAAT2S001,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Landskron-Gegendtal reg.Gen.m.b.H.,Ossiacher Strasse 26,Landskron,RZKTAT2K381,Pending EDS registration,Responding PSP;Requesting PSP,,,
